t,ecg
0,-33
1,-31
2,-39
3,-41
4,-37
5,-31
6,-27
7,-19
8,-15
9,-13
10,-13
11,-25
12,-25
13,-25
14,-23
15,-25
16,-33
17,-23
18,-29
19,-23
20,-27
21,-27
22,-25
23,-35
24,-29
25,-25
26,-29
27,-29
28,-27
29,-33
30,-31
31,-19
32,-21
33,-15
34,-17
35,5
36,5
37,-5
38,-17
39,-23
40,-29
41,-25
42,-31
43,-41
44,-43
45,-43
46,-33
47,-33
48,-31
49,-123
50,-171
51,-37
52,259
53,515
54,535
55,489
56,147
57,-83
58,-59
59,-57
60,-69
61,-73
62,-69
63,-61
64,-63
65,-61
66,-53
67,-47
68,-53
69,-49
70,-43
71,-39
72,-35
73,-37
74,-31
75,-25
76,-29
77,-25
78,-29
79,-31
80,-37
81,-35
82,-35
83,-33
84,-33
85,-23
86,-13
87,-19
88,-23
89,-15
90,-23
91,-31
92,-21
93,-25
94,-27
95,-25
96,-23
97,-21
98,-27
99,-27
100,-27
101,-29
102,-25
103,-23
104,-27
105,-27
106,-33
107,-31
108,-23
109,-17
110,-11
111,-11
112,-9
113,13
114,1
115,-3
116,-11
117,-23
118,-27
119,-27
120,-35
121,-41
122,-45
123,-35
124,-35
125,-31
126,-51
127,-175
128,-129
129,129
130,463
131,585
132,545
133,245
134,-37
135,-55
136,-55
137,-57
138,-57
139,-67
140,-61
141,-57
142,-55
143,-55
144,-49
145,-49
146,-45
147,-39
148,-41
149,-33
150,-25
151,-27
152,-21
153,-23
154,-23
155,-19
156,-31
157,-33
158,-37
159,-37
160,-35
161,-39
162,-27
163,-21
164,-21
165,-19
166,-19
167,-23
168,-21
169,-23
170,-23
171,-25
172,-23
173,-23
174,-23
175,-23
176,-21
177,-21
178,-19
179,-25
180,-23
181,-21
182,-19
183,-21
184,-21
185,-21
186,-15
187,-9
188,-7
189,-5
190,13
191,3
192,-11
193,-19
194,-9
195,-19
196,-29
197,-31
198,-31
199,-37
200,-37
201,-33
202,-31
203,-31
204,-137
205,-169
206,11
207,329
208,545
209,571
210,451
211,99
212,-51
213,-43
214,-51
215,-59
216,-61
217,-67
218,-61
219,-69
220,-61
221,-53
222,-53
223,-53
224,-41
225,-43
226,-37
227,-33
228,-27
229,-31
230,-21
231,-25
232,-29
233,-27
234,-23
235,-35
236,-39
237,-43
238,-37
239,-37
240,-31
241,-25
242,-25
243,-27
244,-21
245,-25
246,-27
247,-33
248,-35
249,-35
250,-19
251,-25
252,-27
253,-29
254,-25
255,-23
256,-19
257,-25
